date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo,home_scored_last10,home_conceded_last10,away_scored_last10,away_conceded_last10
2014-10-14,United States,Honduras,1.0,1.0,Friendly,Boca Raton,United States,False,2066.797489018867,1503.2406481238543,12.0,11.0,10.0,23.0
2014-10-14,Serbia,Albania,0.0,3.0,UEFA Euro qualification,Belgrade,Serbia,False,1619.080288170464,1200.2062130947788,18.0,8.0,9.0,7.0
2014-10-14,Peru,Guatemala,1.0,0.0,Friendly,Lima,Peru,False,1428.4669321722859,1289.1176591778974,11.0,21.0,7.0,14.0
2014-10-14,Laos,Brunei,4.0,2.0,AFF Championship qualification,Vientiane,Laos,False,807.5106489100328,874.8947703776089,12.0,20.0,16.0,28.0
2014-10-14,United Arab Emirates,Uzbekistan,0.0,4.0,Friendly,Dubai,United Arab Emirates,False,1677.1352103877066,1592.9432121082284,19.0,6.0,11.0,7.0
2014-10-15,Cape Verde,Mozambique,1.0,0.0,African Cup of Nations qualification,Praia,Cape Verde,False,1380.9845294154868,1303.5292612235617,14.0,12.0,14.0,6.0
2014-10-15,Cameroon,Sierra Leone,2.0,0.0,African Cup of Nations qualification,Yaoundé,Cameroon,False,1738.827017969913,1161.8123027918696,13.0,14.0,11.0,12.0
2014-10-15,South Africa,Congo,0.0,0.0,African Cup of Nations qualification,Polokwane,South Africa,False,1738.5541218400913,1233.631455189494,12.0,9.0,12.0,13.0
2014-10-15,Algeria,Malawi,3.0,0.0,African Cup of Nations qualification,Blida,Algeria,False,1698.731330427332,1102.7269922166877,19.0,10.0,8.0,12.0
2014-10-15,Ghana,Guinea,3.0,1.0,African Cup of Nations qualification,Accra,Ghana,False,1805.3965302265024,1552.1064607142685,14.0,12.0,18.0,13.0
2014-10-15,Egypt,Botswana,2.0,0.0,African Cup of Nations qualification,Cairo,Egypt,False,1980.5284985422375,1337.696167117245,14.0,12.0,8.0,7.0
2014-10-15,Burkina Faso,Gabon,1.0,1.0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False,1369.6080946069917,1380.819819461839,12.0,12.0,10.0,9.0
2014-10-15,Ivory Coast,DR Congo,3.0,4.0,African Cup of Nations qualification,Abidjan,Ivory Coast,False,2011.048787671764,1309.719743076379,15.0,17.0,7.0,9.0
2014-10-15,Tunisia,Senegal,1.0,0.0,African Cup of Nations qualification,Monastir,Tunisia,False,1757.8593326795092,1687.8768068002196,12.0,7.0,14.0,9.0
2014-10-15,Zambia,Niger,3.0,0.0,African Cup of Nations qualification,Ndola,Zambia,False,1523.8305898613623,1009.5872687284542,19.0,14.0,10.0,15.0
2014-10-15,Togo,Uganda,1.0,0.0,African Cup of Nations qualification,Lomé,Togo,False,1209.832485367086,1600.6160469563708,10.0,15.0,9.0,6.0
2014-10-15,Angola,Lesotho,4.0,0.0,African Cup of Nations qualification,Luanda,Angola,False,1405.9507598834082,852.9372576797081,11.0,10.0,4.0,7.0
2014-10-15,Nigeria,Sudan,3.0,1.0,African Cup of Nations qualification,Abuja,Nigeria,False,1798.0268345068632,1170.6118198638214,8.0,13.0,10.0,12.0
2014-10-15,Eswatini,Zimbabwe,0.0,2.0,Friendly,Lobamba,Swaziland,False,732.7714241121187,1287.8850324072937,2.0,22.0,13.0,10.0
2014-10-15,Mali,Ethiopia,2.0,3.0,African Cup of Nations qualification,Bamako,Mali,False,1465.320188748635,1231.798246250177,11.0,12.0,10.0,16.0
2014-10-16,Brunei,Myanmar,1.0,3.0,AFF Championship qualification,Vientiane,Laos,True,848.6835500836194,1096.372419431159,14.0,31.0,11.0,16.0
2014-10-16,Timor-Leste,Cambodia,2.0,3.0,AFF Championship qualification,Vientiane,Laos,True,819.0216838239623,538.7511063174786,15.0,22.0,5.0,33.0
2014-10-18,Cambodia,Myanmar,0.0,1.0,AFF Championship qualification,Vientiane,Laos,True,568.7256210216849,1116.9633434503962,8.0,34.0,13.0,17.0
2014-10-18,Laos,Timor-Leste,2.0,0.0,AFF Championship qualification,Vientiane,Laos,False,833.7218692040224,789.0471691197561,16.0,21.0,17.0,19.0
2014-10-20,Cambodia,Brunei,1.0,0.0,AFF Championship qualification,Vientiane,Laos,True,553.1062079617178,828.0926260643821,6.0,32.0,13.0,31.0
2014-10-20,Laos,Myanmar,1.0,2.0,AFF Championship qualification,Vientiane,Laos,False,857.9184951426618,1132.5827565103632,17.0,20.0,14.0,15.0
2014-10-24,Bangladesh,Sri Lanka,1.0,1.0,Friendly,Jessore,Bangladesh,False,912.2283982647376,773.1256845082033,12.0,15.0,13.0,33.0
2014-10-25,Zambia,Ivory Coast,1.0,1.0,Friendly,Lusaka,Zambia,False,1539.9801888356408,1974.404693263052,18.0,14.0,17.0,20.0
2014-10-27,Bangladesh,Sri Lanka,1.0,0.0,Friendly,Rajshahi,Bangladesh,False,909.7344101674616,775.6196726054793,12.0,15.0,12.0,30.0
2014-10-31,North Korea,Kuwait,0.0,1.0,Friendly,Dubai,United Arab Emirates,True,1603.1214280167642,1593.838168117137,21.0,9.0,11.0,16.0
2014-10-31,Philippines,Nepal,3.0,0.0,Friendly,Doha,Qatar,True,1238.446827477621,872.5801907259341,19.0,8.0,11.0,11.0
2014-11-02,Bahrain,North Korea,2.0,2.0,Friendly,Riffa,Bahrain,False,1518.7928001792523,1577.9544344391238,4.0,2.0,15.0,9.0
2014-11-04,Kuwait,Yemen,1.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,1619.0051616947774,839.6329853712286,12.0,13.0,8.0,20.0
2014-11-06,Qatar,North Korea,3.0,1.0,Friendly,Doha,Qatar,False,1604.9074669452882,1576.8908214167188,16.0,4.0,12.0,11.0
