exp,model,config,split,RPS,log_loss,Brier,acc
3_linear_ridge,Linear,alpha=1000,val,0.1891695653973786,0.9540071346157684,0.5654508954682285,0.5421686746987951
3_linear_ridge,Linear,alpha=10000,val,0.2016181633312257,0.993586769733031,0.592302121122425,0.5
4_reduced,Linear (alpha=10),10 feats,val,0.188991653640354,0.9572611336552888,0.5641468451004309,0.536144578313253
4_reduced,MLP (best cfg),10 feats,val,0.1888279368259695,0.9513490176671184,0.5646057531490465,0.5481927710843374
5_no_friendlies,Linear (alpha=10),no friendlies (n_tr=1933),val,0.1920523551699438,0.9815155690503732,0.5820168160379309,0.5236051502145923
5_no_friendlies,MLP (best cfg),no friendlies (n_tr=1933),val,0.1893457105085728,0.9696747509149792,0.5785850130112528,0.5364806866952789
6_test,Base rate,-,test,0.2234488501592217,1.0657883805151651,0.6436848221100041,0.4572649572649572
6_test,Linear (alpha=10),full feats,test,0.1762235633643592,0.9142841326085932,0.5448897930545076,0.5555555555555556
6_test,MLP (best cfg),"{'lr': 0.0005, 'depth': 3, 'width': 256, 'dropout': 0.0, 'grad_clip': 5.0}",test,0.1755869667463518,0.917037840233386,0.5443548894188127,0.5641025641025641
7_elo,Linear (alpha=10),elo div=800 k=tourn (baseline),val,0.18859733918273028,0.9533174342906443,0.5637181316534955,0.5451807228915663
7_elo,MLP (best cfg),elo div=800 k=tourn (baseline),val,0.1865811618513736,0.9448372304208233,0.5603184355643741,0.5512048192771084
7_elo,Linear (alpha=10),elo div=200 k=50,val,0.18849694550778673,0.9519493703630629,0.5639287109287949,0.5421686746987951
7_elo,MLP (best cfg),elo div=200 k=50,val,0.18698297437691797,0.9463432737159723,0.5618153514197248,0.5481927710843374
7_elo,Linear (alpha=10),elo div=1600 k=50,val,0.18753863972887508,0.9497972624544831,0.5614227575500792,0.5391566265060241
7_elo,MLP (best cfg),elo div=1600 k=50,val,0.18604672128626204,0.9431757156195409,0.5591918422878216,0.5512048192771084
