model,match_id,match,is_wc,outcome,action,model_p,implied,diff,hit,pnl
M3 NegBin+Frank,26MAY31POLUKR,Poland vs Ukraine,False,draw,SELL,0.2417,0.3173,-0.0756,0.0,0.3173
M3 NegBin+Frank,26MAY31POLUKR,Poland vs Ukraine,False,away,BUY,0.2399,0.1923,0.0476,1.0,0.8077
M1 Poisson+DC,26MAY31GERFIN,Germany vs Finland,False,home,SELL,0.8495,0.8725,-0.0231,1.0,-0.1275
M2 NegBin+DC,26MAY31GERFIN,Germany vs Finland,False,home,SELL,0.8476,0.8725,-0.025,1.0,-0.1275
M4 NegBin+Frank (calib 1X2),26MAY31GERFIN,Germany vs Finland,False,home,BUY,0.894,0.8725,0.0214,1.0,0.1275
M5 NegBin+Frank (calib 1X2+O/U),26MAY31GERFIN,Germany vs Finland,False,home,BUY,0.9146,0.8725,0.042,1.0,0.1275
M5 NegBin+Frank (calib 1X2+O/U),26MAY31GERFIN,Germany vs Finland,False,draw,SELL,0.0613,0.0882,-0.0269,0.0,0.0882
M1 Poisson+DC,26MAY31USASEN,USA vs Senegal,False,home,SELL,0.1829,0.89,-0.7071,1.0,-0.11
M1 Poisson+DC,26MAY31USASEN,USA vs Senegal,False,draw,BUY,0.2261,0.08,0.1461,0.0,-0.08
M1 Poisson+DC,26MAY31USASEN,USA vs Senegal,False,away,BUY,0.5911,0.03,0.5611,0.0,-0.03
M2 NegBin+DC,26MAY31USASEN,USA vs Senegal,False,home,SELL,0.1844,0.89,-0.7056,1.0,-0.11
M2 NegBin+DC,26MAY31USASEN,USA vs Senegal,False,draw,BUY,0.2263,0.08,0.1463,0.0,-0.08
M2 NegBin+DC,26MAY31USASEN,USA vs Senegal,False,away,BUY,0.5893,0.03,0.5593,0.0,-0.03
M3 NegBin+Frank,26MAY31USASEN,USA vs Senegal,False,home,SELL,0.1718,0.89,-0.7182,1.0,-0.11
M3 NegBin+Frank,26MAY31USASEN,USA vs Senegal,False,draw,BUY,0.2206,0.08,0.1406,0.0,-0.08
M3 NegBin+Frank,26MAY31USASEN,USA vs Senegal,False,away,BUY,0.6076,0.03,0.5776,0.0,-0.03
M5 NegBin+Frank (calib 1X2+O/U),26MAY31USASEN,USA vs Senegal,False,home,BUY,0.9859,0.89,0.0959,1.0,0.11
M5 NegBin+Frank (calib 1X2+O/U),26MAY31USASEN,USA vs Senegal,False,draw,SELL,0.0085,0.08,-0.0715,0.0,0.08
M5 NegBin+Frank (calib 1X2+O/U),26MAY31USASEN,USA vs Senegal,False,away,SELL,0.0056,0.03,-0.0244,0.0,0.03
M1 Poisson+DC,26MAY31BRAPAN,Brazil vs Panama,False,home,BUY,0.9181,0.7921,0.1261,1.0,0.2079
M1 Poisson+DC,26MAY31BRAPAN,Brazil vs Panama,False,draw,SELL,0.0593,0.1584,-0.0991,0.0,0.1584
M1 Poisson+DC,26MAY31BRAPAN,Brazil vs Panama,False,away,SELL,0.0226,0.0495,-0.0269,0.0,0.0495
M2 NegBin+DC,26MAY31BRAPAN,Brazil vs Panama,False,home,BUY,0.9154,0.7921,0.1233,1.0,0.2079
