match,kickoff,outcome,action,model,implied,diff,hit,pnl,g_A,g_B
Scotland vs Brazil,2026-06-24,away,SELL,0.599,0.76,-0.161,True,-0.24,0,3
Switzerland vs Canada,2026-06-24,home,BUY,0.4351,0.4,0.0351,True,0.6,2,1
Switzerland vs Canada,2026-06-24,draw,SELL,0.2914,0.32,-0.0286,False,0.32,2,1
Switzerland vs Canada,2026-06-24,away,SELL,0.2735,0.3,-0.0265,False,0.3,2,1
Curacao vs Ivory Coast,2026-06-25,away,SELL,0.7765,0.83,-0.0535,True,-0.17,0,2
Ecuador vs Germany,2026-06-25,home,SELL,0.1583,0.2,-0.0417,True,-0.8,2,1
Ecuador vs Germany,2026-06-25,draw,BUY,0.2427,0.21,0.0327,False,-0.21,2,1
Ecuador vs Germany,2026-06-25,away,SELL,0.599,0.62,-0.021,False,0.62,2,1
Japan vs Sweden,2026-06-26,home,BUY,0.4865,0.39,0.0965,False,-0.39,1,1
Japan vs Sweden,2026-06-26,draw,SELL,0.2718,0.41,-0.1382,True,-0.59,1,1
Japan vs Sweden,2026-06-26,away,BUY,0.2417,0.21,0.0317,False,-0.21,1,1
Paraguay vs Australia,2026-06-26,home,SELL,0.3338,0.37,-0.0362,False,0.37,0,0
Paraguay vs Australia,2026-06-26,draw,SELL,0.3088,0.42,-0.1112,True,-0.58,0,0
Paraguay vs Australia,2026-06-26,away,BUY,0.3574,0.23,0.1274,False,-0.23,0,0
Turkiye vs USA,2026-06-26,home,SELL,0.3872,0.54,-0.1528,True,-0.46,3,2
Turkiye vs USA,2026-06-26,away,BUY,0.3368,0.21,0.1268,False,-0.21,3,2
Egypt vs IR Iran,2026-06-27,home,SELL,0.3229,0.37,-0.0471,False,0.37,1,1
Egypt vs IR Iran,2026-06-27,draw,SELL,0.3165,0.36,-0.0435,True,-0.64,1,1
Egypt vs IR Iran,2026-06-27,away,BUY,0.3606,0.29,0.0706,False,-0.29,1,1
Norway vs France,2026-06-26,home,BUY,0.1576,0.13,0.0276,False,-0.13,1,4
Norway vs France,2026-06-26,draw,BUY,0.2177,0.17,0.0477,False,-0.17,1,4
Norway vs France,2026-06-26,away,SELL,0.6247,0.71,-0.0853,True,-0.29,1,4
New Zealand vs Belgium,2026-06-27,draw,BUY,0.1497,0.11,0.0397,False,-0.11,1,5
New Zealand vs Belgium,2026-06-27,away,SELL,0.7814,0.82,-0.0386,True,-0.18,1,5
Senegal vs Iraq,2026-06-26,home,SELL,0.6099,0.95,-0.3401,True,-0.05,5,0
Senegal vs Iraq,2026-06-26,draw,BUY,0.2342,0.05,0.1842,False,-0.05,5,0
Senegal vs Iraq,2026-06-26,away,BUY,0.1559,0.02,0.1359,False,-0.02,5,0
Uruguay vs Spain,2026-06-27,home,BUY,0.1882,0.15,0.0382,False,-0.15,0,1
Uruguay vs Spain,2026-06-27,away,SELL,0.5621,0.59,-0.0279,True,-0.41,0,1
Congo DR vs Uzbekistan,2026-06-28,home,BUY,0.4193,0.28,0.1393,True,0.72,3,1
Congo DR vs Uzbekistan,2026-06-28,draw,BUY,0.3106,0.29,0.0206,False,-0.29,3,1
Congo DR vs Uzbekistan,2026-06-28,away,SELL,0.27,0.46,-0.19,False,0.46,3,1
Algeria vs Austria,2026-06-28,home,BUY,0.3623,0.28,0.0823,False,-0.28,3,3
Algeria vs Austria,2026-06-28,draw,SELL,0.2888,0.47,-0.1812,True,-0.53,3,3
Algeria vs Austria,2026-06-28,away,BUY,0.3488,0.28,0.0688,False,-0.28,3,3
Jordan vs Argentina,2026-06-28,home,BUY,0.0807,0.05,0.0307,False,-0.05,1,3
Jordan vs Argentina,2026-06-28,draw,BUY,0.1604,0.1,0.0604,False,-0.1,1,3
Jordan vs Argentina,2026-06-28,away,SELL,0.7589,0.87,-0.1111,True,-0.13,1,3
South Africa vs Canada,2026-06-28,draw,SELL,0.2603,0.39,-0.1297,False,0.39,0,1
South Africa vs Canada,2026-06-28,away,BUY,0.5471,0.44,0.1071,True,0.56,0,1
Brazil vs Japan,2026-06-29,home,BUY,0.4962,0.23,0.2662,True,0.77,2,1
Brazil vs Japan,2026-06-29,draw,SELL,0.2652,0.32,-0.0548,False,0.32,2,1
Brazil vs Japan,2026-06-29,away,SELL,0.2386,0.46,-0.2214,False,0.46,2,1
Germany vs Paraguay,2026-06-29,home,SELL,0.6778,0.71,-0.0322,False,0.71,1,1
Germany vs Paraguay,2026-06-29,away,BUY,0.1175,0.08,0.0375,False,-0.08,1,1
Netherlands vs Morocco,2026-06-30,home,BUY,0.4014,0.36,0.0414,False,-0.36,1,1
Netherlands vs Morocco,2026-06-30,draw,SELL,0.2794,0.41,-0.1306,True,-0.59,1,1
Netherlands vs Morocco,2026-06-30,away,BUY,0.3192,0.24,0.0792,False,-0.24,1,1
Ivory Coast vs Norway,2026-06-30,home,BUY,0.3992,0.11,0.2892,False,-0.11,1,2
Ivory Coast vs Norway,2026-06-30,draw,BUY,0.278,0.25,0.028,False,-0.25,1,2
Ivory Coast vs Norway,2026-06-30,away,SELL,0.3228,0.65,-0.3272,True,-0.35,1,2
France vs Sweden,2026-07-01,home,SELL,0.7101,0.88,-0.1699,True,-0.12,3,0
France vs Sweden,2026-07-01,draw,BUY,0.1818,0.11,0.0718,False,-0.11,3,0
France vs Sweden,2026-07-01,away,BUY,0.1081,0.02,0.0881,False,-0.02,3,0
Mexico vs Ecuador,2026-07-01,draw,SELL,0.2991,0.36,-0.0609,False,0.36,2,0
Mexico vs Ecuador,2026-07-01,away,BUY,0.2728,0.23,0.0428,False,-0.23,2,0
