model,match_id,match,scoreline,actual,action,model_p,implied,diff,hit,pnl
M5 NegBin+Frank (calib 1X2+O/U),26JUN25PARAUS,Paraguay vs Australia,0-0,0-0,BUY,0.7213,0.437,0.2844,1.0,0.563
M5 NegBin+Frank (calib 1X2+O/U),26JUN25PARAUS,Paraguay vs Australia,0-1,0-0,SELL,0.0854,0.1429,-0.0575,0.0,0.1429
M5 NegBin+Frank (calib 1X2+O/U),26JUN25PARAUS,Paraguay vs Australia,0-2,0-0,SELL,0.0055,0.0336,-0.0282,0.0,0.0336
M5 NegBin+Frank (calib 1X2+O/U),26JUN25PARAUS,Paraguay vs Australia,1-1,0-0,SELL,0.0247,0.0672,-0.0425,0.0,0.0672
M5 NegBin+Frank (calib 1X2+O/U),26JUN25PARAUS,Paraguay vs Australia,1-2,0-0,SELL,0.0017,0.0252,-0.0236,0.0,0.0252
M5 NegBin+Frank (calib 1X2+O/U),26JUN25PARAUS,Paraguay vs Australia,2-1,0-0,SELL,0.0027,0.0252,-0.0225,0.0,0.0252
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,0-0,3-2,BUY,0.0326,0.0083,0.0243,0.0,-0.0083
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,0-1,3-2,BUY,0.0376,0.0083,0.0293,0.0,-0.0083
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,1-0,3-2,BUY,0.0662,0.0083,0.0579,0.0,-0.0083
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,1-1,3-2,BUY,0.0834,0.0083,0.0751,0.0,-0.0083
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,1-2,3-2,BUY,0.0519,0.0083,0.0436,0.0,-0.0083
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,2-0,3-2,BUY,0.0641,0.0083,0.0558,0.0,-0.0083
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,2-1,3-2,SELL,0.0915,0.124,-0.0325,0.0,0.124
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,2-2,3-2,SELL,0.0641,0.157,-0.0929,0.0,0.157
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,2-3,3-2,SELL,0.03,0.0992,-0.0692,0.0,0.0992
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,2-4,3-2,SELL,0.0107,0.0413,-0.0306,0.0,0.0413
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,3-0,3-2,BUY,0.0418,0.0083,0.0335,0.0,-0.0083
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,3-1,3-2,SELL,0.0665,0.0992,-0.0327,0.0,0.0992
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,3-2,3-2,SELL,0.0521,0.1157,-0.0636,1.0,-0.8843
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,3-3,3-2,SELL,0.0261,0.0744,-0.0482,0.0,0.0744
M3 NegBin+Frank,26JUN25TURUSA,Turkiye vs USA,3-4,3-2,SELL,0.0096,0.0413,-0.0317,0.0,0.0413
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,0-0,3-2,BUY,0.0851,0.0083,0.0768,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,0-1,3-2,BUY,0.0661,0.0083,0.0579,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,1-0,3-2,BUY,0.1251,0.0083,0.1169,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,1-1,3-2,BUY,0.1141,0.0083,0.1058,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,1-2,3-2,BUY,0.0522,0.0083,0.044,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,2-0,3-2,BUY,0.09,0.0083,0.0817,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,2-1,3-2,SELL,0.0976,0.124,-0.0263,0.0,0.124
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,2-2,3-2,SELL,0.0508,0.157,-0.1062,0.0,0.157
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,2-3,3-2,SELL,0.0172,0.0992,-0.082,0.0,0.0992
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,2-4,3-2,SELL,0.0043,0.0413,-0.037,0.0,0.0413
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,3-0,3-2,BUY,0.045,0.0083,0.0367,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,3-1,3-2,SELL,0.0549,0.0992,-0.0443,0.0,0.0992
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,3-2,3-2,SELL,0.0314,0.1157,-0.0843,1.0,-0.8843
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,3-3,3-2,SELL,0.0111,0.0744,-0.0633,0.0,0.0744
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,3-4,3-2,SELL,0.0029,0.0413,-0.0385,0.0,0.0413
M4 NegBin+Frank (calib 1X2),26JUN25TURUSA,Turkiye vs USA,4-2,3-2,SELL,0.0139,0.0413,-0.0274,0.0,0.0413
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,1-0,3-2,BUY,0.049,0.0083,0.0407,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,1-1,3-2,BUY,0.0615,0.0083,0.0532,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,1-2,3-2,BUY,0.0381,0.0083,0.0298,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,2-0,3-2,BUY,0.0595,0.0083,0.0513,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,2-1,3-2,SELL,0.0828,0.124,-0.0411,0.0,0.124
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,2-2,3-2,SELL,0.0566,0.157,-0.1004,0.0,0.157
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,2-3,3-2,SELL,0.0263,0.0992,-0.0728,0.0,0.0992
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,2-4,3-2,SELL,0.0095,0.0413,-0.0318,0.0,0.0413
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,3-0,3-2,BUY,0.0476,0.0083,0.0393,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,3-1,3-2,SELL,0.0737,0.0992,-0.0255,0.0,0.0992
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,3-2,3-2,SELL,0.0562,0.1157,-0.0595,1.0,-0.8843
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,3-3,3-2,SELL,0.028,0.0744,-0.0464,0.0,0.0744
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,3-4,3-2,SELL,0.0104,0.0413,-0.0309,0.0,0.0413
M5 NegBin+Frank (calib 1X2+O/U),26JUN25TURUSA,Turkiye vs USA,4-0,3-2,BUY,0.0294,0.0083,0.0211,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,0-0,1-4,BUY,0.071,0.0083,0.0627,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,0-1,1-4,BUY,0.0948,0.0083,0.0865,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,0-2,1-4,BUY,0.0622,0.0083,0.0538,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,0-3,1-4,BUY,0.0288,0.0083,0.0205,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,1-0,1-4,BUY,0.0759,0.0083,0.0676,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,1-1,1-4,BUY,0.1172,0.0083,0.1089,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,1-2,1-4,BUY,0.0891,0.0083,0.0808,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,1-3,1-4,SELL,0.0453,0.1083,-0.063,0.0,0.1083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,1-4,1-4,SELL,0.0176,0.1583,-0.1408,1.0,-0.8417
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,1-5,1-4,SELL,0.0056,0.1167,-0.1111,0.0,0.1167
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,1-6,1-4,SELL,0.0015,0.0583,-0.0569,0.0,0.0583
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,2-0,1-4,BUY,0.0409,0.0083,0.0325,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,2-1,1-4,BUY,0.0715,0.0083,0.0632,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,2-2,1-4,BUY,0.0625,0.0083,0.0542,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,2-3,1-4,SELL,0.0349,0.0667,-0.0318,0.0,0.0667
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,2-4,1-4,SELL,0.0142,0.1333,-0.1192,0.0,0.1333
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,2-5,1-4,SELL,0.0046,0.0917,-0.0871,0.0,0.0917
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,3-1,1-4,BUY,0.0298,0.0083,0.0215,0.0,-0.0083
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,3-4,1-4,SELL,0.007,0.0417,-0.0347,0.0,0.0417
M3 NegBin+Frank,26JUN26NORFRA,Norway vs France,3-5,1-4,SELL,0.0023,0.0333,-0.0311,0.0,0.0333
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,0-1,1-4,BUY,0.0564,0.0083,0.048,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,0-2,1-4,BUY,0.0724,0.0083,0.064,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,0-3,1-4,BUY,0.0609,0.0083,0.0526,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,0-4,1-4,BUY,0.0393,0.0083,0.0309,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,1-1,1-4,BUY,0.0584,0.0083,0.0501,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,1-2,1-4,BUY,0.0838,0.0083,0.0755,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,1-3,1-4,SELL,0.0796,0.1083,-0.0287,0.0,0.1083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,1-4,1-4,SELL,0.0565,0.1583,-0.1018,1.0,-0.8417
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,1-5,1-4,SELL,0.0324,0.1167,-0.0843,0.0,0.1167
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,1-6,1-4,SELL,0.0156,0.0583,-0.0427,0.0,0.0583
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,2-1,1-4,BUY,0.0306,0.0083,0.0223,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,2-2,1-4,BUY,0.048,0.0083,0.0397,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,2-4,1-4,SELL,0.0395,0.1333,-0.0938,0.0,0.1333
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,2-5,1-4,SELL,0.0241,0.0917,-0.0676,0.0,0.0917
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,3-4,1-4,SELL,0.0175,0.0417,-0.0242,0.0,0.0417
M4 NegBin+Frank (calib 1X2),26JUN26NORFRA,Norway vs France,3-5,1-4,SELL,0.0111,0.0333,-0.0223,0.0,0.0333
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,1-3,1-4,SELL,0.0,0.1083,-0.1083,0.0,0.1083
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,1-4,1-4,SELL,0.0,0.1583,-0.1583,1.0,-0.8417
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,1-5,1-4,SELL,0.0,0.1167,-0.1167,0.0,0.1167
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,1-6,1-4,SELL,0.0,0.0583,-0.0583,0.0,0.0583
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,2-3,1-4,SELL,0.0,0.0667,-0.0667,0.0,0.0667
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,2-4,1-4,SELL,0.0,0.1333,-0.1333,0.0,0.1333
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,2-5,1-4,SELL,0.0,0.0917,-0.0917,0.0,0.0917
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,3-3,1-4,SELL,0.0,0.0333,-0.0333,0.0,0.0333
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,3-4,1-4,SELL,0.0,0.0417,-0.0417,0.0,0.0417
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NORFRA,Norway vs France,3-5,1-4,SELL,0.0,0.0333,-0.0333,0.0,0.0333
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,0-0,5-0,BUY,0.0931,0.008,0.0851,0.0,-0.008
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,0-1,5-0,BUY,0.0467,0.008,0.0387,0.0,-0.008
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,1-0,5-0,BUY,0.1587,0.112,0.0467,0.0,-0.112
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,1-1,5-0,BUY,0.0934,0.032,0.0614,0.0,-0.032
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,1-2,5-0,BUY,0.0289,0.008,0.0209,0.0,-0.008
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,2-0,5-0,SELL,0.132,0.208,-0.076,0.0,0.208
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,2-1,5-0,BUY,0.0944,0.048,0.0464,0.0,-0.048
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,2-2,5-0,BUY,0.0323,0.008,0.0243,0.0,-0.008
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,3-0,5-0,SELL,0.0748,0.192,-0.1172,0.0,0.192
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,3-1,5-0,BUY,0.0621,0.032,0.0301,0.0,-0.032
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,4-0,5-0,SELL,0.0332,0.104,-0.0708,0.0,0.104
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,5-0,5-0,SELL,0.0123,0.04,-0.0277,1.0,-0.96
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,6-0,5-0,SELL,0.0039,0.024,-0.0201,0.0,0.024
M3 NegBin+Frank,26JUN26SENIRQ,Senegal vs Iraq,7-0,5-0,SELL,0.0011,0.032,-0.0309,0.0,0.032
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,1-0,5-0,SELL,0.0202,0.112,-0.0918,0.0,0.112
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,1-1,5-0,SELL,0.0116,0.032,-0.0204,0.0,0.032
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,2-0,5-0,SELL,0.0477,0.208,-0.1603,0.0,0.208
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,3-0,5-0,SELL,0.0743,0.192,-0.1177,0.0,0.192
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,4-1,5-0,BUY,0.0618,0.024,0.0378,0.0,-0.024
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,5-0,5-0,BUY,0.0783,0.04,0.0383,1.0,0.96
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,5-1,5-0,BUY,0.0636,0.016,0.0476,0.0,-0.016
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,6-0,5-0,BUY,0.0604,0.024,0.0364,0.0,-0.024
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,6-1,5-0,BUY,0.0544,0.016,0.0384,0.0,-0.016
M4 NegBin+Frank (calib 1X2),26JUN26SENIRQ,Senegal vs Iraq,7-1,5-0,BUY,0.0396,0.008,0.0316,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,0-0,5-0,BUY,0.0931,0.008,0.0851,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,0-1,5-0,BUY,0.0467,0.008,0.0387,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,1-0,5-0,BUY,0.1587,0.112,0.0467,0.0,-0.112
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,1-1,5-0,BUY,0.0934,0.032,0.0614,0.0,-0.032
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,1-2,5-0,BUY,0.0289,0.008,0.0209,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,2-0,5-0,SELL,0.132,0.208,-0.076,0.0,0.208
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,2-1,5-0,BUY,0.0944,0.048,0.0464,0.0,-0.048
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,2-2,5-0,BUY,0.0323,0.008,0.0243,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,3-0,5-0,SELL,0.0748,0.192,-0.1172,0.0,0.192
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,3-1,5-0,BUY,0.0621,0.032,0.0301,0.0,-0.032
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,4-0,5-0,SELL,0.0332,0.104,-0.0708,0.0,0.104
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,5-0,5-0,SELL,0.0123,0.04,-0.0277,1.0,-0.96
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,6-0,5-0,SELL,0.0039,0.024,-0.0201,0.0,0.024
M5 NegBin+Frank (calib 1X2+O/U),26JUN26SENIRQ,Senegal vs Iraq,7-0,5-0,SELL,0.0011,0.032,-0.0309,0.0,0.032
M3 NegBin+Frank,26JUN26URUESP,Uruguay vs Spain,0-0,0-1,BUY,0.1946,0.0081,0.1864,0.0,-0.0081
M3 NegBin+Frank,26JUN26URUESP,Uruguay vs Spain,0-1,0-1,BUY,0.2208,0.187,0.0338,1.0,0.813
M3 NegBin+Frank,26JUN26URUESP,Uruguay vs Spain,0-2,0-1,SELL,0.1256,0.1707,-0.0451,0.0,0.1707
M3 NegBin+Frank,26JUN26URUESP,Uruguay vs Spain,0-3,0-1,SELL,0.0498,0.0732,-0.0234,0.0,0.0732
M3 NegBin+Frank,26JUN26URUESP,Uruguay vs Spain,1-0,0-1,BUY,0.0731,0.0081,0.065,0.0,-0.0081
M3 NegBin+Frank,26JUN26URUESP,Uruguay vs Spain,1-1,0-1,SELL,0.1057,0.1301,-0.0244,0.0,0.1301
M3 NegBin+Frank,26JUN26URUESP,Uruguay vs Spain,1-2,0-1,SELL,0.0744,0.1138,-0.0394,0.0,0.1138
M3 NegBin+Frank,26JUN26URUESP,Uruguay vs Spain,2-2,0-1,SELL,0.0196,0.0407,-0.021,0.0,0.0407
M4 NegBin+Frank (calib 1X2),26JUN26URUESP,Uruguay vs Spain,0-0,0-1,BUY,0.1053,0.0081,0.0972,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN26URUESP,Uruguay vs Spain,0-1,0-1,SELL,0.1571,0.187,-0.0299,1.0,-0.813
M4 NegBin+Frank (calib 1X2),26JUN26URUESP,Uruguay vs Spain,0-2,0-1,SELL,0.1149,0.1707,-0.0558,0.0,0.1707
M4 NegBin+Frank (calib 1X2),26JUN26URUESP,Uruguay vs Spain,1-0,0-1,BUY,0.0607,0.0081,0.0526,0.0,-0.0081
M4 NegBin+Frank (calib 1X2),26JUN26URUESP,Uruguay vs Spain,1-1,0-1,SELL,0.108,0.1301,-0.0221,0.0,0.1301
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,0-0,0-1,BUY,0.3488,0.0081,0.3407,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,0-1,0-1,BUY,0.2826,0.187,0.0956,1.0,0.813
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,0-2,0-1,SELL,0.1166,0.1707,-0.0541,0.0,0.1707
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,0-3,0-1,SELL,0.0332,0.0732,-0.0399,0.0,0.0732
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,1-0,0-1,BUY,0.0645,0.0081,0.0563,0.0,-0.0081
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,1-1,0-1,SELL,0.0713,0.1301,-0.0588,0.0,0.1301
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,1-2,0-1,SELL,0.0361,0.1138,-0.0777,0.0,0.1138
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,1-3,0-1,SELL,0.0111,0.0488,-0.0376,0.0,0.0488
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,1-4,0-1,SELL,0.0025,0.0244,-0.0219,0.0,0.0244
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,2-1,0-1,SELL,0.0085,0.0325,-0.024,0.0,0.0325
M5 NegBin+Frank (calib 1X2+O/U),26JUN26URUESP,Uruguay vs Spain,2-2,0-1,SELL,0.0045,0.0407,-0.0361,0.0,0.0407
M3 NegBin+Frank,26JUN26NZLBEL,New Zealand vs Belgium,0-0,1-5,BUY,0.0376,0.0083,0.0293,0.0,-0.0083
M3 NegBin+Frank,26JUN26NZLBEL,New Zealand vs Belgium,0-2,1-5,SELL,0.1401,0.1983,-0.0582,0.0,0.1983
M3 NegBin+Frank,26JUN26NZLBEL,New Zealand vs Belgium,0-3,1-5,SELL,0.1249,0.1736,-0.0486,0.0,0.1736
M3 NegBin+Frank,26JUN26NZLBEL,New Zealand vs Belgium,1-5,1-5,BUY,0.0341,0.0083,0.0258,1.0,0.9917
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,0-1,1-5,SELL,0.0297,0.0992,-0.0695,0.0,0.0992
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,0-2,1-5,SELL,0.054,0.1983,-0.1444,0.0,0.1983
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,0-3,1-5,SELL,0.0635,0.1736,-0.11,0.0,0.1736
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,0-4,1-5,SELL,0.0555,0.0992,-0.0436,0.0,0.0992
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,1-4,1-5,BUY,0.0701,0.0413,0.0287,0.0,-0.0413
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,1-5,1-5,BUY,0.0544,0.0083,0.0461,1.0,0.9917
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,2-2,1-5,BUY,0.0287,0.0083,0.0205,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,2-3,1-5,BUY,0.0404,0.0083,0.0322,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN26NZLBEL,New Zealand vs Belgium,2-5,1-5,BUY,0.0363,0.0083,0.0281,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,0-1,1-5,SELL,0.0,0.0992,-0.0991,0.0,0.0992
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,0-2,1-5,SELL,0.0002,0.1983,-0.1981,0.0,0.1983
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,0-3,1-5,SELL,0.0009,0.1736,-0.1727,0.0,0.1736
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,0-4,1-5,SELL,0.0027,0.0992,-0.0965,0.0,0.0992
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,0-5,1-5,SELL,0.0066,0.0413,-0.0347,0.0,0.0413
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,1-0,1-5,SELL,0.0,0.0248,-0.0248,0.0,0.0248
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,1-1,1-5,SELL,0.0001,0.0331,-0.033,0.0,0.0331
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,1-2,1-5,SELL,0.0003,0.0661,-0.0658,0.0,0.0661
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,1-3,1-5,SELL,0.0014,0.0661,-0.0647,0.0,0.0661
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,1-4,1-5,SELL,0.0043,0.0413,-0.0371,0.0,0.0413
M5 NegBin+Frank (calib 1X2+O/U),26JUN26NZLBEL,New Zealand vs Belgium,2-4,1-5,SELL,0.0032,0.0248,-0.0216,0.0,0.0248
M3 NegBin+Frank,26JUN26EGYIRI,Egypt vs IR Iran,0-0,1-1,BUY,0.2041,0.0083,0.1959,0.0,-0.0083
M3 NegBin+Frank,26JUN26EGYIRI,Egypt vs IR Iran,0-1,1-1,BUY,0.1499,0.0083,0.1417,0.0,-0.0083
