match,kickoff,outcome,action,model,implied,diff,hit,pnl,g_A,g_B
Uruguay vs Spain,2026-06-27,draw,SELL,0.2334,0.26,-0.0266,False,0.26,0,1
Congo DR vs Uzbekistan,2026-06-28,home,BUY,0.3717,0.28,0.0917,True,0.72,3,1
Congo DR vs Uzbekistan,2026-06-28,draw,BUY,0.3128,0.29,0.0228,False,-0.29,3,1
Congo DR vs Uzbekistan,2026-06-28,away,SELL,0.3156,0.46,-0.1444,False,0.46,3,1
Colombia vs Portugal,2026-06-28,away,SELL,0.5074,0.53,-0.0226,False,0.53,0,0
Algeria vs Austria,2026-06-28,home,BUY,0.374,0.28,0.094,False,-0.28,3,3
Algeria vs Austria,2026-06-28,draw,SELL,0.2909,0.47,-0.1791,True,-0.53,3,3
Algeria vs Austria,2026-06-28,away,BUY,0.3351,0.28,0.0551,False,-0.28,3,3
Jordan vs Argentina,2026-06-28,home,BUY,0.1241,0.05,0.0741,False,-0.05,1,3
Jordan vs Argentina,2026-06-28,draw,BUY,0.1967,0.1,0.0967,False,-0.1,1,3
Jordan vs Argentina,2026-06-28,away,SELL,0.6792,0.87,-0.1908,True,-0.13,1,3
South Africa vs Canada,2026-06-28,home,BUY,0.2169,0.18,0.0369,False,-0.18,0,1
South Africa vs Canada,2026-06-28,draw,SELL,0.2735,0.39,-0.1165,False,0.39,0,1
South Africa vs Canada,2026-06-28,away,BUY,0.5096,0.44,0.0696,True,0.56,0,1
Brazil vs Japan,2026-06-29,home,BUY,0.4923,0.23,0.2623,True,0.77,2,1
Brazil vs Japan,2026-06-29,draw,SELL,0.2598,0.32,-0.0602,False,0.32,2,1
Brazil vs Japan,2026-06-29,away,SELL,0.2479,0.46,-0.2121,False,0.46,2,1
Germany vs Paraguay,2026-06-29,home,SELL,0.6546,0.71,-0.0554,False,0.71,1,1
Germany vs Paraguay,2026-06-29,away,BUY,0.1315,0.08,0.0515,False,-0.08,1,1
Netherlands vs Morocco,2026-06-30,home,BUY,0.415,0.36,0.055,False,-0.36,1,1
Netherlands vs Morocco,2026-06-30,draw,SELL,0.2749,0.41,-0.1351,True,-0.59,1,1
Netherlands vs Morocco,2026-06-30,away,BUY,0.3101,0.24,0.0701,False,-0.24,1,1
Ivory Coast vs Norway,2026-06-30,home,BUY,0.3594,0.11,0.2494,False,-0.11,1,2
Ivory Coast vs Norway,2026-06-30,draw,BUY,0.2778,0.25,0.0278,False,-0.25,1,2
Ivory Coast vs Norway,2026-06-30,away,SELL,0.3628,0.65,-0.2872,True,-0.35,1,2
France vs Sweden,2026-07-01,home,SELL,0.7241,0.88,-0.1559,True,-0.12,3,0
France vs Sweden,2026-07-01,draw,BUY,0.1713,0.11,0.0613,False,-0.11,3,0
France vs Sweden,2026-07-01,away,BUY,0.1046,0.02,0.0846,False,-0.02,3,0
Mexico vs Ecuador,2026-07-01,home,SELL,0.3939,0.43,-0.0361,True,-0.57,2,0
Mexico vs Ecuador,2026-07-01,draw,SELL,0.305,0.36,-0.055,False,0.36,2,0
Mexico vs Ecuador,2026-07-01,away,BUY,0.3011,0.23,0.0711,False,-0.23,2,0
