series,event_ticker,match,kickoff_utc,snapshot_utc,market_ticker,outcome,price_2h_before,implied_prob,decimal_odds,yes_bid,yes_ask,result,market_status,volume_at_snapshot
KXWCGAME,KXWCGAME-26JUN25CUWCIV,Curacao vs Ivory Coast,2026-06-25T21:50:22.905000+00:00,2026-06-25T19:50:22+00:00,KXWCGAME-26JUN25CUWCIV-CUW,Curacao,0.07,0.07,14.286,0.06,0.07,no,finalized,488217.59
KXWCGAME,KXWCGAME-26JUN25CUWCIV,Curacao vs Ivory Coast,2026-06-25T21:50:22.905000+00:00,2026-06-25T19:50:22+00:00,KXWCGAME-26JUN25CUWCIV-CIV,Ivory Coast,0.83,0.83,1.205,0.82,0.83,yes,finalized,116634.01
KXWCGAME,KXWCGAME-26JUN25CUWCIV,Curacao vs Ivory Coast,2026-06-25T21:50:22.905000+00:00,2026-06-25T19:50:22+00:00,KXWCGAME-26JUN25CUWCIV-TIE,Tie,0.13,0.13,7.692,0.12,0.13,no,finalized,289725.67
KXWCGAME,KXWCGAME-26JUN24RSAKOR,South Africa vs Korea Republic,2026-06-25T02:47:32.980000+00:00,2026-06-25T00:47:32+00:00,KXWCGAME-26JUN24RSAKOR-RSA,South Africa,0.16,0.16,6.25,0.15,0.16,yes,finalized,113003.79
KXWCGAME,KXWCGAME-26JUN24RSAKOR,South Africa vs Korea Republic,2026-06-25T02:47:32.980000+00:00,2026-06-25T00:47:32+00:00,KXWCGAME-26JUN24RSAKOR-KOR,Korea Republic,0.59,0.59,1.695,0.58,0.59,no,finalized,813228.99
KXWCGAME,KXWCGAME-26JUN24RSAKOR,South Africa vs Korea Republic,2026-06-25T02:47:32.980000+00:00,2026-06-25T00:47:32+00:00,KXWCGAME-26JUN24RSAKOR-TIE,Tie,0.26,0.26,3.846,0.25,0.26,no,finalized,55279.86
KXWCGAME,KXWCGAME-26JUN24CZEMEX,Czechia vs Mexico,2026-06-25T04:00:00+00:00,2026-06-25T02:00:00+00:00,KXWCGAME-26JUN24CZEMEX-CZE,Czechia,0.19,0.19,5.263,0.18,0.19,no,finalized,1980425.84
KXWCGAME,KXWCGAME-26JUN24CZEMEX,Czechia vs Mexico,2026-06-25T04:00:00+00:00,2026-06-25T02:00:00+00:00,KXWCGAME-26JUN24CZEMEX-MEX,Mexico,0.45,0.45,2.222,0.44,0.45,yes,finalized,8156540.64
KXWCGAME,KXWCGAME-26JUN24CZEMEX,Czechia vs Mexico,2026-06-25T04:00:00+00:00,2026-06-25T02:00:00+00:00,KXWCGAME-26JUN24CZEMEX-TIE,Tie,0.38,0.38,2.632,0.37,0.38,no,finalized,2056844.43
KXWCGAME,KXWCGAME-26JUN24SCOBRA,Scotland vs Brazil,2026-06-24T23:52:43.937000+00:00,2026-06-24T21:52:43+00:00,KXWCGAME-26JUN24SCOBRA-SCO,Scotland,0.09,0.09,11.111,0.08,0.09,no,finalized,340572.09
